stop_id,stop_name,lat,lon,sequences
168,Bathurst St at Lonsdale Rd,43.68686,-79.419702,7:10
170,Bathurst St at Lyonsgate Dr,43.742895,-79.435483,307:26
171,Bathurst St at Lytton Blvd,43.71038,-79.427533,14:14|7:18
172,Bathurst St at Marquette Ave,43.734195,-79.433342,307:30|400:3
173,Bathurst St at Mascot Pl,43.770483,-79.44229,307:15
174,Bathurst St at Mcallister Rd North Side,43.753514,-79.437841,160:11|7:38
175,Bathurst St at Melrose Ave,43.727244,-79.431501,7:27
178,Bathurst St at Nassau St - Toronto Western Hospital,43.654353,-79.406946,307:63
179,Bathurst St at Neptune Dr,43.731615,-79.432722,307:31
180,Bathurst St at Nina St,43.679716,-79.416855,7:7
181,Bathurst St at Olive Ave,43.670382,-79.413366,307:57
182,Opposite 4981 Bathurst St,43.775844,-79.443659,307:12
183,6101 Bathurst St,43.787443,-79.446244,160:25|7:52
184,Bathurst St at Patricia Ave North Side,43.78418,-79.44541,160:23|7:50
185,Bathurst St at Prince Charles Dr South Side,43.724518,-79.431077,307:34|400:18
187,Bathurst St at Queen St West,43.647375,-79.404131,307:66
188,Bathurst St at Raeburn Ave,43.744162,-79.435564,160:7|7:34
189,Bathurst St at Ranee Ave,43.72707,-79.431662,307:33|400:17
190,Bathurst St at Reiner Rd,43.752651,-79.437863,307:21
192,Bathurst St at Ridge Hill Dr,43.703452,-79.426013,307:45
193,Bathurst St at Robinson St,43.649099,-79.40483,307:65
194,Bathurst St at Rockford Rd,43.785936,-79.446214,307:8
195,Bathurst St at Roselawn Ave,43.705064,-79.426195,7:16
196,Bathurst St at Saranac Blvd,43.723161,-79.430751,307:35|400:19
197,Bathurst St at Shelborne Ave,43.715842,-79.428833,7:21
198,Bathurst St at Shelborne Ave,43.716134,-79.429129,307:39
199,Bathurst St at Sheppard Ave West,43.755214,-79.43823,160:12|7:39
200,Bathurst St at Sheppard Ave West,43.755643,-79.438674,307:20
204,Bathurst St at St Clair Ave West,43.683275,-79.418455,307:52
205,Bathurst St at Stafford Rd,43.7703,-79.441951,160:17|7:44
